gene_id	Gene name
LotjaGi1g1v0062600	LjNFR1
LotjaGi2g1v0394950	LjNFR5
LotjaGi4g1v0114300	?LjNFR5?
LotjaGi4g1v0157000	LjEPR3
LotjaGi6g1v0196700_LC	LjLYS6
LotjaGi3g1v0342900	LjSIP2
LotjaGi3g1v0371400	Lys5
LotjaGi1g1v0062700_LC	Lys2
LotjaGi2g1v0330500	LjSymRK
LotjaGi1g1v0800800	LjCastor
LotjaGi6g1v0363700	LjPollux
LotjaGi1g1v0175100	NUP85
LotjaGi3g1v0307700	LjCCaMK
LotjaGi2g1v0343300	LjCyclops
LotjaGi3g1v0414350	NSP1
LotjaGi1g1v0257100	NSP2
LotjaGi1g1v0155100	NSP2
LotjaGi1g1v0628300	RAM1
LotjaGi3g1v0298200	RAD1
LotjaGi1g1v0001500	LjNIN
LotjaGi3g1v0449360	LjCLE-RS3
LotjaGi3g1v0449330	LjCLE-RS2
LotjaGi3g1v0449200_LC	LjCLE40
LotjaGi5g1v0182100	LjALOG1
LotjaGi3g1v0512000	LjHar1
LotjaGi4g1v0459800	LHK1
LotjaGi2g1v0003400	LHK1a
LotjaGi1g1v0623800	LjTML
LotjaGi5g1v0048000	ABI1
LotjaGi2g1v0379900	AHK1b
LotjaGi6g1v0183200	ASTRAY
LotjaGi5g1v0332700	ATP synthase
LotjaGi4g1v0267200	BAS1
LotjaGi4g1v0453300	BEE 3-like
LotjaGi2g1v0269200	BR6OX
LotjaGi5g1v0256800	Cerberus
LotjaGi1g1v0077900	CPDb
LotjaGi1g1v0228700	CPS
LotjaGi1g1v0679800	ctr1b
LotjaGi3g1v0013600	CYCA2
LotjaGi1g1v0659100	CYCB
LotjaGi2g1v0390700	DWF4
LotjaGi1g1v0690600	Ein2a
LotjaGi3g1v0054100	ETR1 (EER)
LotjaGi1g1v0613300	FEN1
LotjaGi3g1v0339300	KAO
LotjaGi1g1v0690300	LjPAL1
LotjaGi2g1v0379300	LjROP6
LotjaGi1g1v0646100	methionine synthase
LotjaGi2g1v0183900	MYB131
LotjaGi4g1v0083200	NAP1
LotjaGi3g1v0042500	NICK4
LotjaGi4g1v0074400	NIR1
LotjaGi5g1v0299300	NLP4
LotjaGi2g1v0141400_LC	NLP5
LotjaGi1g1v0787200	PIR1
LotjaGi3g1v0163500	PP6-SAL1
LotjaGi4g1v0251000	PRR1
LotjaGi3g1v0404000_LC	PRR4
LotjaGi2g1v0294900	UPS2
LotjaGi2g1v0179500_LC	VAG1
